"","","","2013"
"","","","Valeur"
"Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","12.22"
"Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Total General","58.25"
"Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","36.38"
"Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Total General","85.33"
"Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","59.42"
"Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","111.42"
"Algérie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","24.99"
"Algérie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","91.96"
"Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","61.48"
"Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Total General","101.59"
"Angola","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","18.4"
"Angola","Disponibilité de protéines en quantité (g/personne/jour)","Total General","57.26"
"Antigua-et-Barbuda","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","56.83"
"Antigua-et-Barbuda","Disponibilité de protéines en quantité (g/personne/jour)","Total General","83.71"
"Arabie saoudite","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","39.93"
"Arabie saoudite","Disponibilité de protéines en quantité (g/personne/jour)","Total General","91.63"
"Argentine","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","66.94"
"Argentine","Disponibilité de protéines en quantité (g/personne/jour)","Total General","102.64"
"Arménie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","43.25"
"Arménie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","90.04"
"Australie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","71.68"
"Australie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","106.28"
"Autriche","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","62.86"
"Autriche","Disponibilité de protéines en quantité (g/personne/jour)","Total General","106.21"
"Azerbaïdjan","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","30.08"
"Azerbaïdjan","Disponibilité de protéines en quantité (g/personne/jour)","Total General","93.15"
"Bahamas","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","56.43"
"Bahamas","Disponibilité de protéines en quantité (g/personne/jour)","Total General","86.62"
"Bangladesh","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","9.92"
"Bangladesh","Disponibilité de protéines en quantité (g/personne/jour)","Total General","55.84"
"Barbade","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","50.52"
"Barbade","Disponibilité de protéines en quantité (g/personne/jour)","Total General","88.24"
"Belgique","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","58.12"
"Belgique","Disponibilité de protéines en quantité (g/personne/jour)","Total General","99.59"
"Belize","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","28.95"
"Belize","Disponibilité de protéines en quantité (g/personne/jour)","Total General","73.27"
"Bermudes","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","60.28"
"Bermudes","Disponibilité de protéines en quantité (g/personne/jour)","Total General","90.79"
"Bolivie (État plurinational de)","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","29.76"
"Bolivie (État plurinational de)","Disponibilité de protéines en quantité (g/personne/jour)","Total General","66.01"
"Bosnie-Herzégovine","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","30.42"
"Bosnie-Herzégovine","Disponibilité de protéines en quantité (g/personne/jour)","Total General","91.64"
"Botswana","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","26.41"
"Botswana","Disponibilité de protéines en quantité (g/personne/jour)","Total General","64.86"
"Brunéi Darussalam","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","52.95"
"Brunéi Darussalam","Disponibilité de protéines en quantité (g/personne/jour)","Total General","93.41"
"Brésil","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","52.59"
"Brésil","Disponibilité de protéines en quantité (g/personne/jour)","Total General","94.99"
"Bulgarie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","41.3"
"Bulgarie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","83.53"
"Burkina Faso","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","11.07"
"Burkina Faso","Disponibilité de protéines en quantité (g/personne/jour)","Total General","79.38"
"Bélarus","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","54.96"
"Bélarus","Disponibilité de protéines en quantité (g/personne/jour)","Total General","93.82"
"Bénin","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","14.25"
"Bénin","Disponibilité de protéines en quantité (g/personne/jour)","Total General","64.43"
"Cabo Verde","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","27.93"
"Cabo Verde","Disponibilité de protéines en quantité (g/personne/jour)","Total General","73.65"
"Cambodge","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","19.11"
"Cambodge","Disponibilité de protéines en quantité (g/personne/jour)","Total General","65.66"
"Cameroun","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","11.7"
"Cameroun","Disponibilité de protéines en quantité (g/personne/jour)","Total General","69.96"
"Canada","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","54.7"
"Canada","Disponibilité de protéines en quantité (g/personne/jour)","Total General","104.95"
"Chili","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","45.27"
"Chili","Disponibilité de protéines en quantité (g/personne/jour)","Total General","87.36"
"Chine - RAS de Hong-Kong","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","94.41"
"Chine - RAS de Hong-Kong","Disponibilité de protéines en quantité (g/personne/jour)","Total General","129.18"
"Chine - RAS de Macao","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","61.1"
"Chine - RAS de Macao","Disponibilité de protéines en quantité (g/personne/jour)","Total General","94.84"
"Chine, Taiwan Province de","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","43.49"
"Chine, Taiwan Province de","Disponibilité de protéines en quantité (g/personne/jour)","Total General","89.74"
"Chine, continentale","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","39.28"
"Chine, continentale","Disponibilité de protéines en quantité (g/personne/jour)","Total General","98.02"
"Chypre","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","45.05"
"Chypre","Disponibilité de protéines en quantité (g/personne/jour)","Total General","77.61"
"Colombie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","33.48"
"Colombie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","64.38"
"Congo","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","22.25"
"Congo","Disponibilité de protéines en quantité (g/personne/jour)","Total General","51.66"
"Costa Rica","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","40.98"
"Costa Rica","Disponibilité de protéines en quantité (g/personne/jour)","Total General","75.07"
"Croatie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","47.98"
"Croatie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","84.35"
"Cuba","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","31.77"
"Cuba","Disponibilité de protéines en quantité (g/personne/jour)","Total General","90.86"
"Côte d'Ivoire","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","13.67"
"Côte d'Ivoire","Disponibilité de protéines en quantité (g/personne/jour)","Total General","58.51"
"Danemark","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","69.82"
"Danemark","Disponibilité de protéines en quantité (g/personne/jour)","Total General","108.88"
"Djibouti","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","15.09"
"Djibouti","Disponibilité de protéines en quantité (g/personne/jour)","Total General","65.86"
"Dominique","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","39.19"
"Dominique","Disponibilité de protéines en quantité (g/personne/jour)","Total General","76.25"
"El Salvador","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","25.25"
"El Salvador","Disponibilité de protéines en quantité (g/personne/jour)","Total General","71.9"
"Espagne","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","65.15"
"Espagne","Disponibilité de protéines en quantité (g/personne/jour)","Total General","104.88"
"Estonie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","53.24"
"Estonie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","103.9"
"Eswatini","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","17.58"
"Eswatini","Disponibilité de protéines en quantité (g/personne/jour)","Total General","58.6"
"Fidji","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","31.37"
"Fidji","Disponibilité de protéines en quantité (g/personne/jour)","Total General","73.6"
"Finlande","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","73.03"
"Finlande","Disponibilité de protéines en quantité (g/personne/jour)","Total General","117.72"
"France","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","69.35"
"France","Disponibilité de protéines en quantité (g/personne/jour)","Total General","110.52"
"Fédération de Russie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","56.18"
"Fédération de Russie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","102.84"
"Gabon","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","43.03"
"Gabon","Disponibilité de protéines en quantité (g/personne/jour)","Total General","86.63"
"Gambie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","14.1"
"Gambie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","61.55"
"Ghana","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","17.22"
"Ghana","Disponibilité de protéines en quantité (g/personne/jour)","Total General","64.57"
"Grenade","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","41.59"
"Grenade","Disponibilité de protéines en quantité (g/personne/jour)","Total General","69.19"
"Grèce","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","59.24"
"Grèce","Disponibilité de protéines en quantité (g/personne/jour)","Total General","108.8"
"Guatemala","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","17.83"
"Guatemala","Disponibilité de protéines en quantité (g/personne/jour)","Total General","63.73"
"Guinée","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","9.94"
"Guinée","Disponibilité de protéines en quantité (g/personne/jour)","Total General","55.93"
"Guinée-Bissau","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","8.89"
"Guinée-Bissau","Disponibilité de protéines en quantité (g/personne/jour)","Total General","44.04"
"Guyana","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","36.07"
"Guyana","Disponibilité de protéines en quantité (g/personne/jour)","Total General","79.51"
"Géorgie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","28.82"
"Géorgie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","80.53"
"Haïti","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","10.15"
"Haïti","Disponibilité de protéines en quantité (g/personne/jour)","Total General","47.72"
"Honduras","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","23.2"
"Honduras","Disponibilité de protéines en quantité (g/personne/jour)","Total General","64.88"
"Hongrie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","42.1"
"Hongrie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","78.85"
"Inde","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","11.99"
"Inde","Disponibilité de protéines en quantité (g/personne/jour)","Total General","60.25"
"Indonésie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","17.71"
"Indonésie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","62.18"
"Iran (République islamique d')","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","22.22"
"Iran (République islamique d')","Disponibilité de protéines en quantité (g/personne/jour)","Total General","87.28"
"Iraq","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","13.18"
"Iraq","Disponibilité de protéines en quantité (g/personne/jour)","Total General","63.63"
"Irlande","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","64.82"
"Irlande","Disponibilité de protéines en quantité (g/personne/jour)","Total General","110.02"
"Islande","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","96.48"
"Islande","Disponibilité de protéines en quantité (g/personne/jour)","Total General","133.54"
"Israël","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","72.47"
"Israël","Disponibilité de protéines en quantité (g/personne/jour)","Total General","128.14"
"Italie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","58.24"
"Italie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","108.51"
"Jamaïque","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","37.11"
"Jamaïque","Disponibilité de protéines en quantité (g/personne/jour)","Total General","76.97"
"Japon","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","48.46"
"Japon","Disponibilité de protéines en quantité (g/personne/jour)","Total General","87.73"
"Jordanie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","27.18"
"Jordanie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","79.59"
"Kazakhstan","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","57.06"
"Kazakhstan","Disponibilité de protéines en quantité (g/personne/jour)","Total General","96.41"
"Kenya","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","15.9"
"Kenya","Disponibilité de protéines en quantité (g/personne/jour)","Total General","61.84"
"Kirghizistan","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","35.04"
"Kirghizistan","Disponibilité de protéines en quantité (g/personne/jour)","Total General","85.16"
"Kiribati","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","35.3"
"Kiribati","Disponibilité de protéines en quantité (g/personne/jour)","Total General","73.33"
"Koweït","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","53.58"
"Koweït","Disponibilité de protéines en quantité (g/personne/jour)","Total General","108.24"
"Lesotho","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","12.78"
"Lesotho","Disponibilité de protéines en quantité (g/personne/jour)","Total General","73.52"
"Lettonie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","50.97"
"Lettonie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","91.39"
"Liban","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","29.32"
"Liban","Disponibilité de protéines en quantité (g/personne/jour)","Total General","79.71"
"Libéria","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","8.14"
